1,Al Faatihah,7,5,1
2,Al Baqarah,286,87,2
3,Ali 'Imran,200,89,50
4,An Nisaa',176,92,77
5,Al Maa-idah,120,112,106
6,Al An'aam,165,55,128
7,Al A'raaf,206,39,151
8,Al AnfaAl,75,88,177
9,At Taubah,129,113,187
10,Yunus,109,51,208
11,Hud,123,52,221
12,Yusuf,111,53,235
13,Ar Ra'd,43,96,249
14,Ibrahim,52,72,255
15,Al Hijr,99,54,262
16,An Nahl,128,70,267
17,Al Israa',111,50,282
18,Al Kahfi,110,69,293
19,Maryam,98,44,305
20,Thaahaa,135,45,312
21,Al Anbyaa',112,73,322
22,Al Hajj,78,103,332
23,Al Mu'minuun,118,74,342
24,An Nuur,64,102,350
25,Al Furqaan,77,42,359
26,Asy Syu'araa',227,47,367
27,An Naml,93,48,377
28,Al Qashash,88,49,385
29,Al'Ankabuut,69,85,396
30,Ar Ruum,60,84,404
31,Luqman,34,57,411
32,As Sajdah,30,75,415
33,Al Ahzab,73,90,418
34,Saba',54,58,428
35,Fathir,45,43,434
36,Yassiin,83,41,440
37,Ash Shaaffaat,182,56,446
38,Shaad,88,38,453
39,Az Zumar,75,59,458
40,Al Mu'min,85,60,467
41,Al Fushshilat,54,61,477
42,Asy Syura,53,62,483
43,Az Zukhruf,89,63,489
44,Ad Dukhaan,59,64,496
45,Al Jaatsiyah,37,65,499
46,Al Ahqaaf,35,66,502
47,Muhammad,38,95,507
48,Al Fath,29,111,511
49,Al Hujuraat,18,106,515
50,Qaaf,45,34,518
51,Adz Dzaariyaat,60,67,520
52,Ath Thuur,49,76,523
53,An Najm,62,23,526
54,Al Qamar,55,37,528
55,Ar Rahmaan,78,97,531
56,Al Waaqi'ah,96,46,534
57,Al Hadiid,29,94,537
58,Al Mujaadilah,22,105,542
59,Al Hasyr,24,101,545
60,Al Mumtahanah,13,91,549
61,Ash Shaff,14,109,551
62,Al Jumu'ah,11,110,553
63,Al Munaafiquun,11,104,554
64,At Taghaabun,18,108,556
65,Ath Thalaaq,12,99,558
66,At Tahriim,12,107,560
67,Al Mulk,30,77,562
68,Al Qalam,52,2,564
69,Al Haaqqah,52,78,566
70,Al Ma'aarij,44,79,568
71,Nuh,28,71,570
72,Al Jin,28,40,572
73,Al Muzzammil,20,3,574
74,Al Muddatstsir,56,4,575
75,Al Qiyaamah,40,31,577
76,Al Insaan,31,98,578
77,Al Mursalaat,50,33,580
78,An Naba',40,80,582
79,An Naazi'aat,46,81,583
80,'Abasa,42,24,585
81,At Takwiir,29,7,586
82,Al Infithaar,19,82,587
83,Al Muthaffifiin,36,86,587
84,Al Insyiqaaq,25,83,589
85,Al Buruuj,22,27,590
86,Ath Thaariq,17,36,591
87,Al A'laa,19,8,591
88,Al Ghaasyiyah,26,68,592
89,Al Fajr,30,10,593
90,Al Balad,20,35,594
91,Asy Syams,15,26,595
92,Al Lail,21,9,595
93,Adh Dhuhaa,11,11,596
94,Alam Nasyrah,8,12,596
95,At Tiin,8,28,597
96,Al 'Alaq,19,1,597
97,Al Qadr,5,25,598
98,Al Bayyinah,8,100,598
99,Az Zalzalah,8,93,599
100,Al 'Adiyaat,11,14,599
101,Al Qaari'ah,11,30,600
102,At Takaatsur,8,16,600
103,Al 'Ashr,3,13,601
104,Al Humazah,9,32,601
105,Al Fiil,5,19,601
106,Quraisy,4,29,602
107,Al Maa'uun,7,17,602
108,Al Kautsar,3,15,602
109,Al Kaafiruun,6,18,603
110,An Nashr,3,114,603
111,Al Lahab,5,6,603
112,Al Ikhlash,4,22,604
113,Al Falaq,5,20,604
114,An Naas,6,21,604
,,,,
